Date,language_learner,established_scholar,university_academic,language_teacher,language_teacher_secondary,language_teacher_adult_edu,language_teacher_private,language_teacher_other,language_teacher_primary,language_teacher_pre_elementary,test_developer,mid_career,materials_developer,professional_development_provider,teacher_educator,student,masters,early_career,language_teacher_tertiary,other,parent,media,phd,ncelp_hub_school_teacher,ncelp_specialist_teacher,undergraduate,policy_maker
2019-11-03,0,0,0,12,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-04,0,0,2,19,8,0,0,0,2,1,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1
2019-11-05,4,0,0,33,12,0,1,1,1,0,0,0,1,0,1,2,0,0,0,1,1,0,1,0,1,0,0
2019-11-06,0,0,2,12,3,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
2019-11-07,0,0,0,18,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-08,1,1,1,25,12,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
2019-11-09,0,0,0,24,9,0,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2019-11-10,1,0,0,12,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-11,2,0,0,31,13,0,0,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-12,2,0,0,26,15,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0
2019-11-13,3,0,0,27,12,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-14,0,0,1,6,2,0,0,1,0,0,0,1,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0
2019-11-15,0,0,0,17,6,0,0,1,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-16,1,0,0,50,16,2,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2019-11-17,4,0,1,58,26,0,2,0,4,0,0,0,2,0,3,2,0,1,0,1,2,0,0,2,1,0,0
2019-11-18,6,2,4,133,68,1,1,0,4,0,2,2,2,1,16,2,1,0,1,0,0,0,0,1,1,0,0
2019-11-19,2,0,0,81,32,0,2,0,3,0,0,0,2,1,5,1,0,0,1,0,2,0,0,0,0,1,0
2019-11-20,0,0,0,45,17,2,0,0,4,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-21,2,0,0,43,17,4,0,0,3,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2019-11-22,0,0,0,41,20,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2019-11-23,0,0,0,45,18,0,0,0,3,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
2019-11-24,2,0,1,36,22,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-11-25,8,1,1,43,18,0,1,0,4,0,0,0,0,0,4,0,0,0,1,0,1,0,0,6,0,0,0
2019-11-26,5,0,0,41,20,0,0,0,0,0,0,0,1,0,3,5,1,0,0,1,0,1,0,0,0,0,0
2019-11-27,3,0,1,102,52,0,0,1,0,0,1,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0
2019-11-28,2,0,0,66,40,1,0,0,0,0,0,0,3,1,5,2,0,0,1,1,0,0,0,0,1,0,0
2019-11-29,2,1,2,74,34,2,0,2,3,0,0,0,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0
2019-11-30,2,1,2,55,15,0,1,0,10,2,0,0,1,1,3,4,1,0,1,0,1,0,0,0,0,1,0
2019-12-01,1,1,2,51,23,0,0,0,6,1,0,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0
2019-12-02,3,0,0,102,44,0,1,1,11,0,0,0,0,0,7,1,1,0,1,0,0,0,0,1,2,0,0
2019-12-03,4,0,0,107,47,0,1,0,8,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-04,1,0,1,45,23,0,1,1,1,0,0,0,2,0,10,0,0,1,0,0,0,0,0,0,0,0,1
2019-12-05,0,0,0,50,23,0,0,0,1,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0
2019-12-06,1,0,1,35,19,0,0,0,2,0,0,1,1,0,2,3,2,0,0,0,0,0,0,1,0,0,0
2019-12-07,0,0,0,15,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-08,3,0,0,15,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-12-09,1,0,0,54,23,2,1,0,2,0,0,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0
2019-12-10,1,0,0,31,16,1,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-11,2,0,0,20,10,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2019-12-12,3,0,0,42,16,0,0,0,2,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0
2019-12-13,4,0,1,23,15,0,0,0,0,0,0,0,1,1,2,3,1,0,0,1,0,0,1,0,0,0,0
2019-12-14,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-15,4,0,1,10,5,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
2019-12-16,0,0,0,21,7,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0
2019-12-17,1,0,0,14,7,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0
2019-12-18,0,1,2,22,11,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
2019-12-19,1,1,4,17,6,0,0,0,1,0,1,0,1,0,0,7,0,1,1,0,0,0,0,0,0,5,0
2019-12-20,1,0,4,19,6,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0
